text,text_lower,label
"177,527 cubic meters","177,527 cubic meters",QUANTITY
the Port Chiapas Reunion,the port chiapas reunion,FAC
Chiapas,chiapas,GPE
Chis,chis,GPE
Anton Lizardo,anton lizardo,PERSON
Veracruz,veracruz,GPE
Veracruz,veracruz,GPE
Campeche,campeche,ORG
the Search Naval Station,the search naval station,FAC
Bocas,bocas,GPE
Tabasco,tabasco,GPE
Sedena,sedena,ORG
Memorandum of Understanding on Information Exchange Elements,memorandum of understanding on information exchange elements,ORG
Signa,signa,ORG
Madrid,madrid,GPE
Spain,spain,GPE
Mexico City,mexico city,GPE
Nicaragua,nicaragua,GPE
the Republic of Korea,the republic of korea,GPE
the American Army Conference,the american army conference,ORG
"the Specialized Conference ""","the specialized conference """,ORG
San Antonio,san antonio,GPE
Texas,texas,GPE
USA,usa,GPE
American,american,NORP
Santiago de Chile,santiago de chile,ORG
Environment Natural Resources,environment natural resources,ORG
Puerto Iguazú,puerto iguazú,GPE
Argentina,argentina,GPE
the XXXII Committee of the Cooperation System,the xxxii committee of the cooperation system,ORG
American Air Forces,american air forces,ORG
Brasilia,brasilia,GPE
Federal Republic of Brazil,federal republic of brazil,GPE
Committee,committee,ORG
Punta Cana,punta cana,ORG
Dominican Republic,dominican republic,GPE
the Arms Trade Treaty,the arms trade treaty,ORG
Capacity Building,capacity building,WORK_OF_ART
the First Conference of Ciberdefense,the first conference of ciberdefense,ORG
the Western Hemisphere,the western hemisphere,LOC
Soldier,soldier,ORG
House,house,ORG
Washington,washington,GPE
D.C.,d.c.,GPE
SEDENA,sedena,ORG
the North Command,the north command,ORG
the United States of America,the united states of america,GPE
Armed Forces of Guatemala and Belize,armed forces of guatemala and belize,ORG
the Guatemala and Belize,the guatemala and belize,ORG
Mexico,mexico,GPE
Guatemala and Belize,guatemala and belize,ORG
The Northern Comandant of,the northern comandant of,LAW
the United States of America,the united states of america,GPE
SEMAR,semar,ORG
National Defense,national defense,ORG
Marina,marina,LOC
US,us,GPE
USA,usa,GPE
Central America,central america,LOC
Haiti,haiti,GPE
the Capacity Development Strategy,the capacity development strategy,ORG
SEMAR,semar,ORG
US,us,GPE
English,english,LANGUAGE
Navy,navy,ORG
Mexico,mexico,GPE
Domingo,domingo,GPE
Dominican Republic,dominican republic,GPE
The Working Group for Peacekeeping Operations,the working group for peacekeeping operations,ORG
Mexico,mexico,GPE
the United Nations Ministerial Peacekeeping Conference,the united nations ministerial peacekeeping conference,ORG
the XIX Border Commanders Board Mexico,the xix border commanders board mexico,ORG
Mexico Ð Belize,mexico ð belize,ORG
Navy,navy,ORG
Mexico,mexico,GPE
the National Navy of Colombia,the national navy of colombia,ORG
States,states,PERSON
SEMAR,semar,ORG
the US Coast Guard,the us coast guard,ORG
the Safety Conference of Central America,the safety conference of central america,ORG
Belize,belize,GPE
El Salvador,el salvador,GPE
Costa Rica,costa rica,GPE
Guatemala,guatemala,GPE
Panama,panama,GPE
Honduras,honduras,GPE
USA,usa,GPE
Colombia,colombia,GPE
Dominican Republic,dominican republic,GPE
Mexico,mexico,GPE
the United Nations Peace Maintenance Ministerial Conference,the united nations peace maintenance ministerial conference,ORG
the United Nations Units,the united nations units,ORG
UN,un,ORG
New York,new york,GPE
EUA,eua,ORG
Mexican,mexican,NORP
UN,un,ORG
the Third Conference of Heads of State's Defense,the third conference of heads of state's defense,EVENT
the UN Headquarters Building,the un headquarters building,ORG
New York,new york,GPE
EUA,eua,ORG
Mexican,mexican,NORP
Civil Protection,civil protection,ORG
Mexico,mexico,GPE
The National Emergency Committee,the national emergency committee,ORG
Tlahuellpan,tlahuellpan,GPE
Committee,committee,ORG
the Federal Public Administration,the federal public administration,ORG
Mexico,mexico,GPE
Atlas,atlas,PERSON
the National Civil Protection Coordination (CNPC,the national civil protection coordination (cnpc,ORG
the National Strategy for Fuel Theft,the national strategy for fuel theft,ORG
the Young Program Building the Future,the young program building the future,ORG
The National Map of Susceptibility,the national map of susceptibility,ORG
New Leon,new leon,GPE
San Luis Potosí,san luis potosí,GPE
Mexico,mexico,GPE
Mexican,mexican,NORP
The National Disaster Prevention Center,the national disaster prevention center,ORG
the Common Alert Protocol,the common alert protocol,LAW
the Message Format,the message format,LOC
The National Center for Communication and Civil Protection Operation,the national center for communication and civil protection operation,ORG
Mexico,mexico,GPE
The Basic Technical Academic Program,the basic technical academic program,ORG
Integral Risk Management,integral risk management,ORG
The National Military Service Program on Civil Protection for Companies and Training Centers of the Secretariat of National Defense (SEDENA,the national military service program on civil protection for companies and training centers of the secretariat of national defense (sedena,ORG
the Marina Secretariat,the marina secretariat,LOC
Sabatine,sabatine,GPE
EC0908,ec0908,PRODUCT
the Mesoamerican Network for Integral Risk Management,the mesoamerican network for integral risk management,ORG
the Communicators Network,the communicators network,ORG
the Strategic Communication Group,the strategic communication group,ORG
the Mesoamerica Project,the mesoamerica project,ORG
the Republic of El Salvador,the republic of el salvador,GPE
Mesoamerica,mesoamerica,GPE
"Puebla, Morelos, State of","puebla, morelos, state of",ORG
Mexico,mexico,GPE
Tlaxcala,tlaxcala,GPE
the three Government Orders,the three government orders,ORG
Guanajuato,guanajuato,GPE
Colima,colima,GPE
Guerrero,guerrero,PERSON
Tabasco,tabasco,PERSON
Sonora,sonora,GPE
Tlaxcala,tlaxcala,GPE
Campeche,campeche,ORG
Mexico City,mexico city,GPE
Morelos,morelos,GPE
the State Civil Protection Coordinations of Colima,the state civil protection coordinations of colima,ORG
Jalisco,jalisco,GPE
Mexico X,mexico x,GPE
Moodle,moodle,ORG
SEDENA,sedena,ORG
Mexico City,mexico city,GPE
Chiapas,chiapas,GPE
Mexico,mexico,GPE
Guerrero,guerrero,PERSON
Tlaxcala,tlaxcala,GPE
Zacatecas,zacatecas,GPE
the Advisory Scientific Committee,the advisory scientific committee,ORG
CCA,cca,ORG
the National Civil Protection System (SINAPROC,the national civil protection system (sinaproc,ORG
Mexican Red Cross,mexican red cross,ORG
Civil Protection,civil protection,ORG
Sentinel,sentinel,GPE
the Mexican Red Cross,the mexican red cross,ORG
SINAPROC,sinaproc,GPE
Toluca,toluca,GPE
Chichinautzin,chichinautzin,NORP
Xalapa,xalapa,ORG
Michoacán-Guanajuato,michoacán-guanajuato,ORG
the Governance and Public Policies Index,the governance and public policies index,ORG
the Comprehensive Risk Management,the comprehensive risk management,ORG
Mexico,mexico,GPE
Mesoamerican,mesoamerican,NORP
Mexico City,mexico city,GPE
Mesoamerican,mesoamerican,NORP
Mexican,mexican,NORP
CNPC,cnpc,ORG
the Guide for Municipal Headlines for Civil Protection,the guide for municipal headlines for civil protection,ORG
Huachicol,huachicol,NORP
Tlahuellpan,tlahuellpan,GPE
Mexico,mexico,GPE
the General Directorate of Civil Protection,the general directorate of civil protection,ORG
the Federal Police,the federal police,ORG
Chiapas,chiapas,GPE
San Luis Potosí,san luis potosí,GPE
Querétaro,querétaro,GPE
Veracruz,veracruz,GPE
Guanajuato and State of Mexico,guanajuato and state of mexico,ORG
ECO,eco,ORG
Tlaquepaque,tlaquepaque,ORG
the National Water Commission,the national water commission,ORG
CONAGUA,conagua,ORG
Affectionate,affectionate,LOC
"Reynosa, Tamaulipas","reynosa, tamaulipas",ORG
CNPC,cnpc,ORG
the Tamaulipas Damage Committee,the tamaulipas damage committee,ORG
Chihuahua,chihuahua,PERSON
Durango,durango,ORG
Mexico,mexico,GPE
Michoacán,michoacán,GPE
Puebla,puebla,GPE
San Luis Potosí,san luis potosí,GPE
Zacatecas,zacatecas,GPE
Sinaloa,sinaloa,ORG
Sonora,sonora,PERSON
Coahuila,coahuila,GPE
Chiapas,chiapas,GPE
Oaxaca,oaxaca,PERSON
Guerrero,guerrero,PERSON
Jalisco,jalisco,GPE
Tamaulipas 2,tamaulipas 2,LAW
Veracruz,veracruz,GPE
Chiapas,chiapas,GPE
210,210,PRODUCT
the Municipal Water and Sanitation Board of Ciudad Juárez,the municipal water and sanitation board of ciudad juárez,ORG
"the ""Borders of Juarez","the ""borders of juarez",ORG
Transfer,transfer,PERSON
the Trust of the Natural Disaster Fund,the trust of the natural disaster fund,ORG
Federative Entity,federative entity,PERSON
FONDE,fonde,ORG
Authorized Federal Expenditure,authorized federal expenditure,ORG
Federative Entity,federative entity,PERSON
Millions of Pesos,millions of pesos,ORG
Authorized Resources Trust 1,authorized resources trust 1,ORG
Baja,baja,GPE
California,california,GPE
California,california,GPE
Mexico City,mexico city,GPE
Coahuila,coahuila,ORG
Colima,colima,PERSON
Durango,durango,ORG
"101.9 0.2 Guerrero 1,006.8","101.9 0.2 guerrero 1,006.8",PRODUCT
Jalisco,jalisco,GPE
189.2 2.0,189.2 2.0,PRODUCT
Michoacán,michoacán,GPE
Morelos,morelos,ORG
Sinaloa,sinaloa,ORG
Sonora,sonora,PERSON
Tabasco,tabasco,ORG
Veracruz,veracruz,GPE
15.2 Legal Advice,15.2 legal advice,ORG
Fund for Emergency Attention,fund for emergency attention,ORG
1 / Trust,1 / trust,ORG
Banobras,banobras,GPE
Secretariat of Finance and Public Credit,secretariat of finance and public credit,ORG
"FONDON 1,087.5 million","fondon 1,087.5 million",MONEY
X. Establish,x. establish,PERSON
the National Guard,the national guard,ORG
the National Guard,the national guard,ORG
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
DOF,dof,GPE
the National Guard,the national guard,ORG
the National Law of the Record of Detentensions,the national law of the record of detentensions,LAW
The National Law on the Use of Force,the national law on the use of force,LAW
the General Law of System 1 / the,the general law of system 1 / the,LAW
Carretero,carretero,ORG
the DOF.2 / •,the dof.2 / •,EVENT
the Naval Police,the naval police,FAC
the Federal Police,the federal police,ORG
the Corporations From,the corporations from,ORG
the National Guard,the national guard,ORG
Mexico,mexico,GPE
the National Guard,the national guard,ORG
the National Guard,the national guard,ORG
Guanajuato,guanajuato,GPE
Jalisco,jalisco,GPE
Michoacán,michoacán,GPE
the National Guard,the national guard,ORG
Mexico,mexico,GPE
the National Guard (Veteran,the national guard (veteran,ORG
the National Guard (New Income,the national guard (new income,ORG
Analysis and Development Of,analysis and development of,WORK_OF_ART
Citizen Protection,citizen protection,ORG
National Guard,national guard,ORG
Xi,xi,PERSON
State,state,ORG
the Naval Zone,the naval zone,LOC
the State Coordinator of the National Guard,the state coordinator of the national guard,ORG
the Federal Police Station,the federal police station,ORG
State Security,state security,ORG
the Prosecutor's Office of the State of the State,the prosecutor's office of the state of the state,ORG
the General Prosecutor's Office,the general prosecutor's office,ORG
"the ""National Public Safety Strategy 2018-2024","the ""national public safety strategy 2018-2024",ORG
"the Secretariat of Safety and Citizen Protection, Signa","the secretariat of safety and citizen protection, signa",ORG
Signa,signa,ORG
"2,211,457 kilograms","2,211,457 kilograms",QUANTITY
"93,515 kilograms","93,515 kilograms",QUANTITY
0.014 kilograms,0.014 kilograms,QUANTITY
"8,827 kilograms","8,827 kilograms",QUANTITY
Mexican,mexican,NORP
"310,176 US dollars","310,176 us dollars",MONEY
the National Guard,the national guard,ORG
Almost 1.5 tons,almost 1.5 tons,QUANTITY
140.4 kilograms,140.4 kilograms,QUANTITY
Kilograms,kilograms,PERSON
15 kilograms,15 kilograms,QUANTITY
64 kilograms,64 kilograms,QUANTITY
Network of Petróleos Mexicanos,network of petróleos mexicanos,ORG
XII,xii,ORG
Actions,actions,PERSON
Public Safety Secretaries,public safety secretaries,ORG
Morelia,morelia,GPE
Michoacán,michoacán,GPE
Northwest,northwest,ORG
Sonora,sonora,PERSON
Cancun,cancun,PERSON
Quintana Roo,quintana roo,PERSON
Mexico City,mexico city,GPE
the National Public Safety Strategy 2018-2024,the national public safety strategy 2018-2024,ORG
the National Public Security Council,the national public security council,ORG
the National Guard,the national guard,ORG
the Public Ministry,the public ministry,ORG
The National Model for Trust Evaluation,the national model for trust evaluation,ORG
the National Register of Public Safety Personnel,the national register of public safety personnel,ORG
CUP,cup,ORG
Ministry of Finance and Public Credit / National Banking Commission,ministry of finance and public credit / national banking commission,ORG
Value / Intelligence Unit Financial,value / intelligence unit financial,ORG
State,state,ORG
The National Strategy for the Simplification and Modernization of the Approved Police Report,the national strategy for the simplification and modernization of the approved police report,ORG
IPH,iph,ORG
Benito Juárez,benito juárez,GPE
Quintana Roo,quintana roo,PERSON
Chihuahua,chihuahua,PERSON
Chihuahua,chihuahua,PERSON
City Nezahualcóyotl,city nezahualcóyotl,PERSON
Mexico,mexico,GPE
Escobedo,escobedo,GPE
Nuevo León,nuevo león,PERSON
Sonora,sonora,PERSON
Los Cabos,los cabos,GPE
Baja,baja,GPE
Merida Yucatan,merida yucatan,PERSON
Puerto Vallarta,puerto vallarta,GPE
Jalisco,jalisco,GPE
San Cristóbal de,san cristóbal de,GPE
Casas,casas,GPE
Chiapas,chiapas,GPE
Santa María Huatulco,santa maría huatulco,GPE
Oaxaca,oaxaca,GPE
"the ""MOBILÓ IPH","the ""mobiló iph",EVENT
the National Public Safety Strategy 2018-2024,the national public safety strategy 2018-2024,ORG
States,states,GPE
Mexico,mexico,GPE
Social Training for Safety,social training for safety,WORK_OF_ART
Social Prevention of Violence,social prevention of violence,ORG
Peaceó,peaceó,ORG
the Executive Secretariat,the executive secretariat,ORG
the National System of Protection,the national system of protection,ORG
the Secretariat of Security,the secretariat of security,ORG
Citizen Protection,citizen protection,ORG
the National Antisecuestro Coordination,the national antisecuestro coordination,ORG
UECS,uecs,ORG
the Federal Police Research Division,the federal police research division,ORG
the Planning Group,the planning group,ORG
the National Conference on Procurement of Justice,the national conference on procurement of justice,ORG
the Extortion and Successing Commission of the Security and Justice Bureau,the extortion and successing commission of the security and justice bureau,ORG
C5,c5,PERSON
the Information Analysis,the information analysis,ORG
the Federal Police,the federal police,ORG
the Federal Police,the federal police,ORG
Gasoline Magna,gasoline magna,PERSON
Premium,premium,ORG
Mexican,mexican,NORP
Secretariat of Defense National,secretariat of defense national,ORG
the Marina Secretariat,the marina secretariat,LOC
Mexican,mexican,NORP
Civic Court,civic court,ORG
the National Strategy for Fuel Theft 'Huachicol',the national strategy for fuel theft 'huachicol',ORG
Navy,navy,ORG
Mexico,mexico,GPE
"Guanajuato, State of","guanajuato, state of",GPE
Mexico,mexico,GPE
Mexico City,mexico city,GPE
the Federal Police,the federal police,ORG
Telurioó,telurioó,PERSON
National Guard,national guard,ORG
the National Public Safety Strategy,the national public safety strategy,ORG
"the Tools of Transparency, Accountability and Evaluation","the tools of transparency, accountability and evaluation",ORG
the Executive Secretariat,the executive secretariat,ORG
the National System of National System,the national system of national system,ORG
Public Safety,public safety,ORG
the Fund for Public Safety Contributions,the fund for public safety contributions,ORG
Fortaseg,fortaseg,ORG
Mexico City,mexico city,GPE
the Federal Entities,the federal entities,ORG
Article 7,article 7,LAW
SESSP,sessp,ORG
Federal Subsidy,federal subsidy,ORG
Mexico,mexico,GPE
article 3rd,article 3rd,LAW
Afroomexican,afroomexican,NORP
Demoscharlas,demoscharlas,PERSON
Nationalized Identity,nationalized identity,WORK_OF_ART
Mexico City,mexico city,GPE
Mexico,mexico,GPE
The Federal Public Administration,the federal public administration,ORG
the Federal Law for the Promotion of Activities,the federal law for the promotion of activities,ORG
"the ""Collaboration Mechanism between civil society organizations and","the ""collaboration mechanism between civil society organizations and",LAW
the Federal Government,the federal government,ORG
Mexico,mexico,GPE
Civil Society Advisory Groups,civil society advisory groups,WORK_OF_ART
the Inter-American Development Bank,the inter-american development bank,ORG
The National Institute of Women,the national institute of women,ORG
the National Observatory on,the national observatory on,ORG
the Chamber of the Permanent Commission,the chamber of the permanent commission,ORG
Senate,senate,ORG
Association,association,ORG
AC,ac,ORG
the National Electoral Institute,the national electoral institute,ORG
Mexicans,mexicans,NORP
Communities,communities,ORG
State,state,ORG
the Electoral Institute of Mexico City,the electoral institute of mexico city,ORG
the National Institute of Indigenous Languages,the national institute of indigenous languages,ORG
Lingch Rights of Peoples,lingch rights of peoples,WORK_OF_ART
the National Institute of Indigenous Peoples,the national institute of indigenous peoples,ORG
the National Institute of Anthropology,the national institute of anthropology,ORG
Mexico,mexico,GPE
Mexico,mexico,GPE
Village,village,FAC
the Integral Project Morelos,the integral project morelos,ORG
Huexca,huexca,PERSON
Morelos,morelos,GPE
Morelos,morelos,ORG
Puebla,puebla,GPE
Tlaxcala,tlaxcala,ORG
the State of Morelos,the state of morelos,ORG
Numeraria Integral Project,numeraria integral project,ORG
Voting Tables 147 Volunteers Participants in,voting tables 147 volunteers participants in,WORK_OF_ART
the Isthmus Development Program of Tehuantepec,the isthmus development program of tehuantepec,ORG
the Ministry of Finance and Public Credit,the ministry of finance and public credit,ORG
the National Institute of Indigenous Peoples,the national institute of indigenous peoples,ORG
INPI,inpi,ORG
the Monitoring and Verification Committee,the monitoring and verification committee,ORG
Jaltepec de Candayoc,jaltepec de candayoc,GPE
Santa María Chimalapa,santa maría chimalapa,ORG
Santiago Laollaga,santiago laollaga,PERSON
Salina Cruz,salina cruz,PERSON
UxPanapa,uxpanapa,PERSON
Oteapan,oteapan,PERSON
the State of Veracruz,the state of veracruz,GPE
Technical Committee,technical committee,ORG
Numerary Isthmus Development Program of Tehuantepec Concept Numbers Regional 7 Monitoring and Verification Commissions,numerary isthmus development program of tehuantepec concept numbers regional 7 monitoring and verification commissions,ORG
Santiago Laollaga,santiago laollaga,PERSON
Assembly,assembly,ORG
State,state,ORG
the Number,the number,FAC
Saint Luciaó,saint luciaó,PERSON
Indigenous Community of San Miguel Xaltocan,indigenous community of san miguel xaltocan,ORG
Nextlalpan,nextlalpan,GPE
the Alewed Communities,the alewed communities,FAC
the Saint Lucia Military Area Base,the saint lucia military area base,FAC
IPI,ipi,ORG
the Community General Assembly,the community general assembly,ORG
the Monitoring and Verification Committee of the Agreements,the monitoring and verification committee of the agreements,ORG
"Project ""Civilian Mixed Airport / Military Military Base Number 1 of Saint LuciaóconcepttonMeroStamples","project ""civilian mixed airport / military military base number 1 of saint luciaóconcepttonmerostamples",ORG
"the Community 1,015 Representatives of the Federal Government 79","the community 1,015 representatives of the federal government 79",ORG
Indigenous Peoples,indigenous peoples,ORG
Afroomexican,afroomexican,NORP
Afroomexican,afroomexican,NORP
Afroomexican,afroomexican,NORP
Mexican,mexican,NORP
Los Angeles,los angeles,GPE
California,california,GPE
United States of America,united states of america,GPE
the National Forum,the national forum,ORG
Mexico City,mexico city,GPE
Numerary Consultation on Indigenous Peoples' Rights and,numerary consultation on indigenous peoples' rights and,ORG
Guerrero,guerrero,ORG
Veracruz,veracruz,GPE
Michoacán,michoacán,GPE
Baja,baja,GPE
California,california,GPE
Chihuahua,chihuahua,PERSON
Baja,baja,GPE
Mexico City,mexico city,GPE
Coahuila / Nuevo León,coahuila / nuevo león,ORG
Colima,colima,PERSON
Durango,durango,ORG
State,state,ORG
Mexico,mexico,GPE
Guanajuato,guanajuato,GPE
Jalisco,jalisco,GPE
Morelos,morelos,GPE
Nayarit,nayarit,GPE
Querétaro,querétaro,GPE
Quintana Roo,quintana roo,PERSON
San Luis Potosí,san luis potosí,GPE
Sinaloa,sinaloa,ORG
Tabasco,tabasco,ORG
Yucatán,yucatán,ORG
the Zapoteca Indigenous Community of Union Hidalgo (Ranchú Gunaa,the zapoteca indigenous community of union hidalgo (ranchú gunaa,ORG
Oaxaca,oaxaca,GPE
Article 119 of the Law of the Electrical Industry,article 119 of the law of the electrical industry,LAW
the Secretariat of Energy,the secretariat of energy,ORG
Safeguard,safeguard,PRODUCT
"the ""Ticul A and Ticul Bó Solar Park:","the ""ticul a and ticul bó solar park:",LAW
the Advisory Assembly,the advisory assembly,ORG
San José Tipceh Muna,san josé tipceh muna,LOC
Yucatán,yucatán,PERSON
the Community of Plan Chac Municipality of Sacalum,the community of plan chac municipality of sacalum,ORG
Yucatán,yucatán,ORG
the Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
Articles 35,articles 35,PERSON
The Political Constitution of the United Mexican States,the political constitution of the united mexican states,LAW
Libreria/pp_contenidoasuntos,libreria/pp_contenidoasuntos,ORG
the Chambers of the Honorable Congress of the Union,the chambers of the honorable congress of the union,ORG
H. Congress,h. congress,PERSON
the Chambers of H. Congress of the Union,the chambers of h. congress of the union,ORG
Detail,detail,PERSON
the Superior Room of,the superior room of,LOC
the Electoral Tribunal of the Judicial Power of the Federation,the electoral tribunal of the judicial power of the federation,ORG
the United Mexican States,the united mexican states,GPE
the Chamber of Deputies,the chamber of deputies,ORG
the Review Chamber,the review chamber,ORG
Senate,senate,ORG
the Republic on March,the republic on march,GPE
Popular Consultation,popular consultation,ORG
Mexico,mexico,GPE
Article 35,article 35,LAW
CPEUM,cpeum,ORG
the Legislative Information System,the legislative information system,ORG
Article 35 of the Constitution,article 35 of the constitution,LAW
the Chamber of Deputies,the chamber of deputies,ORG
Senate,senate,ORG
Mexico,mexico,GPE
APF,apf,ORG
the National Palace,the national palace,ORG
the National Palace,the national palace,ORG
Greenpeace,greenpeace,ORG
United Nations Development Program,united nations development program,ORG
Article 19,article 19,LAW
Centro Mario Molina,centro mario molina,PERSON
Mexican Institute for Competitiveness AC,mexican institute for competitiveness ac,ORG
Mexico Evalua,mexico evalua,GPE
Oxfam,oxfam,ORG
NosotRXS,nosotrxs,GPE
Expo Your Government,expo your government,WORK_OF_ART
Article 8 of the CPEUM,article 8 of the cpeum,LAW
Mexicans,mexicans,NORP
Mexico,mexico,GPE
Article 89,article 89,LAW
Mexicans,mexicans,NORP
Mexicans,mexicans,NORP
Mexican,mexican,NORP
Mexico,mexico,GPE
Latin America,latin america,LOC
Caribbean,caribbean,LOC
Mexico,mexico,GPE
Central America,central america,LOC
Latin American,latin american,NORP
the Pacific Alliance,the pacific alliance,ORG
North America,north america,LOC
the United States of America,the united states of america,GPE
the European Union,the european union,ORG
Mexico,mexico,GPE
Pacific Asia,pacific asia,LOC
G20,g20,ORG
United Nations,united nations,ORG
Agenda 2030,agenda 2030,PERSON
Mexico,mexico,GPE
South-South,south-south,LOC
Mexico,mexico,GPE
the Central American,the central american,LOC
Caribbean,caribbean,LOC
Latin American,latin american,NORP
Mexico,mexico,GPE
Mexicans,mexicans,NORP
Mexican,mexican,NORP
Communities,communities,ORG
the Federal Executive Power Transmission Ceremony,the federal executive power transmission ceremony,ORG
Mexico City,mexico city,GPE
International,international,GPE
Mexico,mexico,GPE
US,us,GPE
Mexico,mexico,GPE
American,american,NORP
Foreign Affairs,foreign affairs,ORG
American,american,NORP
Improve,improve,PRODUCT
Mexicans,mexicans,NORP
Central American,central american,NORP
the Mexico Treaty,the mexico treaty,FAC
the United States,the united states,GPE
Canada,canada,GPE
T-MEC,t-mec,LOC
Foreign Affairs,foreign affairs,ORG
Mexico,mexico,GPE
Nebraska,nebraska,GPE
John Peter Ricketts,john peter ricketts,PERSON
Mayors of North America,mayors of north america,ORG
Los Cabos,los cabos,GPE
Baja,baja,GPE
North America,north america,LOC
Mexico,mexico,GPE
US,us,GPE
Mexican,mexican,NORP
Puerto Palomas-Columbus,puerto palomas-columbus,GPE
Chihuahua-New Mexico,chihuahua-new mexico,ORG
Mexican,mexican,NORP
Puerto Reynosa-Pharr,puerto reynosa-pharr,GPE
the Government of Mexico,the government of mexico,ORG
the X Technical Meeting of the Bilateral Executive Committee,the x technical meeting of the bilateral executive committee,ORG
US,us,GPE
the Customs Office and Border Protection,the customs office and border protection,ORG
the US Government,the us government,ORG
the Subcommittee of Safe Flows,the subcommittee of safe flows,ORG
the Bank of America,the bank of america,ORG
Mexico,mexico,GPE
Tijuana,tijuana,GPE
Baja,baja,GPE
California,california,GPE
Diaz Ordaz,diaz ordaz,PERSON
Tamaulipas,tamaulipas,PERSON
Metropolitan,metropolitan,LOC
Nuevo León,nuevo león,PERSON
129.5 million dollars,129.5 million dollars,MONEY
Mexico,mexico,GPE
The Ministry of Foreign Affairs,the ministry of foreign affairs,ORG
USA,usa,GPE
Mexico,mexico,GPE
the Economy Secretariat,the economy secretariat,ORG
Mexico,mexico,GPE
SRE,sre,ORG
Mexico,mexico,GPE
"Washington, DC","washington, dc",GPE
Mexico,mexico,GPE
Central America,central america,LOC
US,us,GPE
the Bilateral Forum on Higher Education,the bilateral forum on higher education,ORG
Innovation and Research,innovation and research,ORG
the Binational Forum,the binational forum,ORG
Mexico-Canada,mexico-canada,ORG
"Science, Technology and Development","science, technology and development",ORG
the State of Indiana,the state of indiana,GPE
the San Diego Regional Chamber of Commerce,the san diego regional chamber of commerce,ORG
the Hispanic Chamber of Commerce of Austin,the hispanic chamber of commerce of austin,ORG
Canada,canada,GPE
Foreign Affairs,foreign affairs,ORG
Chrystia Freeland,chrystia freeland,PERSON
G20,g20,ORG
Mexico,mexico,GPE
Canada,canada,GPE
Sample,sample,GPE
T-MEC,t-mec,GPE
Mexico,mexico,GPE
Mexico-Canada,mexico-canada,ORG
Mexican,mexican,NORP
Canada,canada,GPE
SRE,sre,ORG
North America,north america,LOC
Mexico,mexico,GPE
USA,usa,GPE
Canada,canada,GPE
Miami,miami,GPE
Florida,florida,GPE
North America,north america,LOC
the Ministry of National Defense (SEDENA,the ministry of national defense (sedena,ORG
the Guatemala and Belize,the guatemala and belize,ORG
The Northern Command,the northern command,ORG
US,us,GPE
the Marina Secretariat,the marina secretariat,LOC
the United States Armed Forces,the united states armed forces,GPE
Canada,canada,GPE
Ottawa,ottawa,GPE
Canada,canada,GPE
the United Nations Organization,the united nations organization,ORG
UN,un,ORG
Border,border,ORG
SEDENA,sedena,ORG
the Americas Conference Center,the americas conference center,FAC
the EUA Southern Command,the eua southern command,ORG
Miami,miami,GPE
Florida,florida,GPE
the Northern Hemisphere,the northern hemisphere,LOC
the Northern Command,the northern command,ORG
US,us,GPE
the United Mexican States,the united mexican states,GPE
the United States of America,the united states of america,GPE
the Emergency Administration,the emergency administration,ORG
the XI Edition of the,the xi edition of the,LAW
US,us,GPE
Mexico,mexico,GPE
USA,usa,GPE
T-MEC,t-mec,PERSON
US,us,GPE
Commerce,commerce,ORG
Mexico Hosted the XXVI Meeting of the Council of the Commission for Environmental Cooperation of North America,mexico hosted the xxvi meeting of the council of the commission for environmental cooperation of north america,ORG
the XXIV Mexico-US-Canada Trilateral Committee,the xxiv mexico-us-canada trilateral committee,LOC
Victoria,victoria,GPE
Canada,canada,GPE
Honduras,honduras,GPE
Guatemala,guatemala,GPE
Mexico,mexico,GPE
the Republic of El Salvador,the republic of el salvador,GPE
the Economic Commission for America Latina,the economic commission for america latina,ORG
Caribbean,caribbean,LOC
the Integral Development Plan (PDI),the integral development plan (pdi),LAW
Andrés Manuel López,andrés manuel lópez,PERSON
Executive,executive,ORG
ECLAC,eclac,ORG
Alicia Bárcena,alicia bárcena,PERSON
Social Welfare,social welfare,ORG
Foreign Affairs,foreign affairs,ORG
USA,usa,GPE
Spain,spain,GPE
Germany,germany,GPE
Bolivia,bolivia,GPE
Chile,chile,GPE
Uruguay,uruguay,GPE
the European Union,the european union,ORG
UN,un,ORG
the Organization of American States,the organization of american states,ORG
OAS,oas,ORG
Secretariat,secretariat,ORG
Latin American,latin american,NORP
Mexico,mexico,GPE
State,state,ORG
the Federal Republic of Brazil,the federal republic of brazil,GPE
Jair Bolsonaro,jair bolsonaro,PERSON
El Salvador,el salvador,GPE
Nayib Bukele,nayib bukele,PERSON
Mexico,mexico,GPE
Latin American,latin american,NORP
Caribbean States,caribbean states,LOC
San Salvador,san salvador,GPE
El Salvador,el salvador,GPE
the Plurinational State,the plurinational state,ORG
Bolivia,bolivia,GPE
Mexico,mexico,GPE
Foreign Affairs,foreign affairs,ORG
Bolivia,bolivia,GPE
Visa,visa,ORG
Bolivians,bolivians,NORP
Mexico,mexico,GPE
El Salvador,el salvador,GPE
Honduras,honduras,GPE
Guatemala,guatemala,GPE
ECLAC,eclac,ORG
PDI,pdi,ORG
"Montevideo, Uruguay","montevideo, uruguay",GPE
Mexican,mexican,NORP
