text,text_lower,lemma_lower,part_of_speech
public,public,public,ADJ
services,services,service,NOUN
stressed,stressed,stress,VERB
December,december,december,PROPN
June,june,june,PROPN
following,following,follow,VERB
reconciliation,reconciliation,reconciliation,NOUN
requests,requests,request,NOUN
concluded,concluded,conclude,VERB
determined,determined,determine,VERB
coming,coming,come,VERB
agreement,agreement,agreement,NOUN
left,left,leave,VERB
safe,safe,safe,ADJ
rights,rights,right,NOUN
parties,parties,party,NOUN
Additionally,additionally,additionally,ADV
files,files,file,NOUN
analyzed,analyzed,analyze,VERB
determined,determined,determine,VERB
inhale,inhale,inhale,NOUN
Training,training,training,NOUN
January,january,january,PROPN
diagnosis,diagnosis,diagnosis,NOUN
training,training,training,NOUN
needs,needs,need,NOUN
owners,owners,owner,NOUN
surveillance,surveillance,surveillance,NOUN
control,control,control,NOUN
bodies,bodies,body,NOUN
carried,carried,carry,VERB
public,public,public,ADJ
delegates,delegates,delegate,NOUN
curators,curators,curator,NOUN
SFP,sfp,sfp,PROPN
identifying,identifying,identify,VERB
shortcomings,shortcomings,shortcoming,NOUN
knowledge,knowledge,knowledge,NOUN
management,management,management,NOUN
conflict,conflict,conflict,NOUN
interest,interest,interest,NOUN
response,response,response,NOUN
public,public,public,ADJ
servants,servants,servant,NOUN
subjects,subjects,subject,NOUN
ethics,ethics,ethic,NOUN
integrity,integrity,integrity,NOUN
prevention,prevention,prevention,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
faced,faced,face,VERB
action,action,action,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
problem,problem,problem,NOUN
presented,presented,present,VERB
exercise,exercise,exercise,NOUN
public,public,public,ADJ
function,function,function,NOUN
training,training,training,NOUN
campaign,campaign,campaign,NOUN
started,started,start,VERB
purpose,purpose,purpose,NOUN
transmitting,transmitting,transmit,VERB
public,public,public,ADJ
server,server,server,NOUN
characteristics,characteristics,characteristic,NOUN
configuration,configuration,configuration,NOUN
scope,scope,scope,NOUN
conflict,conflict,conflict,NOUN
interest,interest,interest,NOUN
request,request,request,NOUN
different,different,different,ADJ
instances,instances,instance,NOUN
consultations,consultations,consultation,NOUN
provided,provided,provide,VERB
seven,seven,seven,NUM
Opinions,opinions,opinion,NOUN
possible,possible,possible,ADJ
action,action,action,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
Table,table,table,PROPN
Actions,actions,actions,PROPN
Ethics,ethics,ethics,PROPN
Public,public,public,PROPN
Integrity,integrity,integrity,PROPN
Prevention,prevention,prevention,PROPN
Conflicts,conflicts,conflicts,PROPN
Interests,interests,interests,PROPN
ATTENTION,attention,attention,NOUN
PUBLIC,public,public,PROPN
SERVICES,services,services,PROPN
Number,number,number,PROPN
Advising,advising,advise,VERB
Ethics,ethics,ethics,PROPN
Public,public,public,PROPN
Integrity,integrity,integrity,PROPN
Consultations,consultations,consultation,NOUN
action,action,action,NOUN
protocol,protocol,protocol,NOUN
public,public,public,ADJ
procurement,procurement,procurement,NOUN
granting,granting,granting,NOUN
extension,extension,extension,NOUN
licenses,licenses,license,NOUN
permits,permits,permit,NOUN
authorizations,authorizations,authorization,NOUN
concessions,concessions,concession,NOUN
Assistance,assistance,assistance,NOUN
field,field,field,NOUN
action,action,action,NOUN
public,public,public,ADJ
procurement,procurement,procurement,NOUN
granting,granting,granting,NOUN
extension,extension,extension,NOUN
licenses,licenses,license,NOUN
permits,permits,permit,NOUN
authorizations,authorizations,authorization,NOUN
concessions,concessions,concession,NOUN
Consultations,consultations,consultation,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
Assortances,assortances,assortance,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
opinions,opinions,opinion,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
Source,source,source,NOUN
Secretariat,secretariat,secretariat,PROPN
Public,public,public,PROPN
Function,function,function,PROPN
training,training,training,NOUN
calls,calls,call,NOUN
OIC,oic,oic,PROPN
personnel,personnel,personnel,NOUN
issued,issued,issue,VERB
issues,issues,issue,NOUN
related,related,relate,VERB
risks,risks,risk,NOUN
relationship,relationship,relationship,NOUN
public,public,public,ADJ
private,private,private,ADJ
interests,interests,interest,NOUN
patrimonial,patrimonial,patrimonial,ADJ
evolution,evolution,evolution,NOUN
public,public,public,ADJ
work,work,work,NOUN
Research,research,research,NOUN
behaviors,behaviors,behavior,NOUN
possible,possible,possible,ADJ
administrative,administrative,administrative,ADJ
faults,faults,fault,NOUN
interest,interest,interest,NOUN
conflict,conflict,conflict,NOUN
sanction,sanction,sanction,NOUN
public,public,public,ADJ
ethical,ethical,ethical,ADJ
contracts,contracts,contract,NOUN
Government,government,government,PROPN
Mexico,mexico,mexico,PROPN
developed,developed,develop,VERB
comprehensive,comprehensive,comprehensive,ADJ
program,program,program,NOUN
professionalization,professionalization,professionalization,NOUN
people,people,people,NOUN
perform,perform,perform,VERB
audit,audit,audit,NOUN
functions,functions,function,NOUN
public,public,public,ADJ
work,work,work,NOUN
based,based,base,VERB
professional,professional,professional,ADJ
competences,competences,competence,NOUN
project,project,project,NOUN
puts,puts,put,VERB
practice,practice,practice,NOUN
model,model,model,NOUN
professionalization,professionalization,professionalization,NOUN
based,based,base,VERB
bodies,bodies,body,NOUN
families,families,family,NOUN
functions,functions,function,NOUN
construction,construction,construction,NOUN
competence,competence,competence,NOUN
standard,standard,standard,NOUN
participation,participation,participation,NOUN
unit,unit,unit,NOUN
ethics,ethics,ethic,NOUN
public,public,public,ADJ
integrity,integrity,integrity,NOUN
prevention,prevention,prevention,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
integrate,integrate,integrate,VERB
ethical,ethical,ethical,ADJ
component,component,component,NOUN
said,said,say,VERB
standard,standard,standard,NOUN
work,work,work,NOUN
identifies,identifies,identify,VERB
stages,stages,stage,NOUN
public,public,public,ADJ
work,work,work,NOUN
function,function,function,NOUN
key,key,key,ADJ
aspects,aspects,aspect,NOUN
exercise,exercise,exercise,NOUN
function,function,function,NOUN
present,present,present,VERB
risks,risks,risk,NOUN
corruption,corruption,corruption,NOUN
conflict,conflict,conflict,NOUN
interest,interest,interest,NOUN
strengthen,strengthen,strengthen,VERB
performance,performance,performance,NOUN
responsible,responsible,responsible,ADJ
ethical,ethical,ethical,ADJ
work,work,work,NOUN
public,public,public,ADJ
servant,servant,servant,NOUN
Ethics,ethics,ethics,PROPN
prevention,prevention,prevention,NOUN
committees,committees,committee,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
collegiate,collegiate,collegiate,ADJ
bodies,bodies,body,NOUN
integrated,integrated,integrate,VERB
APF,apf,apf,PROPN
dependencies,dependencies,dependency,NOUN
entities,entities,entity,NOUN
productive,productive,productive,ADJ
companies,companies,company,NOUN
State,state,state,PROPN
aim,aim,aim,VERB
promote,promote,promote,VERB
ethics,ethics,ethic,NOUN
integrity,integrity,integrity,NOUN
public,public,public,ADJ
service,service,service,NOUN
prevention,prevention,prevention,NOUN
conflicts,conflicts,conflict,NOUN
interest,interest,interest,NOUN
guidance,guidance,guidance,NOUN
training,training,training,NOUN
dissemination,dissemination,dissemination,NOUN
actions,actions,action,NOUN
public,public,public,ADJ
entity,entity,entity,NOUN
located,located,locate,VERB
worked,worked,work,VERB
strengthening,strengthening,strengthening,NOUN
committees,committees,committee,NOUN
design,design,design,NOUN
monitoring,monitoring,monitoring,NOUN
evaluation,evaluation,evaluation,NOUN
mechanisms,mechanisms,mechanism,NOUN
dissemination,dissemination,dissemination,NOUN
training,training,training,NOUN
activities,activities,activity,NOUN
carry,carry,carry,VERB
Change,change,change,NOUN
paradigm,paradigm,paradigm,NOUN
safety,safety,safety,NOUN
crisis,crisis,crisis,NOUN
violence,violence,violence,NOUN
insecurity,insecurity,insecurity,NOUN
country,country,country,NOUN
experiencing,experiencing,experience,VERB
seriously,seriously,seriously,ADV
impacts,impacts,impact,VERB
life,life,life,NOUN
population,population,population,NOUN
economic,economic,economic,ADJ
activity,activity,activity,NOUN
Government,government,government,PROPN
Mexico,mexico,mexico,PROPN
guided,guided,guide,VERB
actions,actions,action,NOUN
prevention,prevention,prevention,NOUN
violence,violence,violence,NOUN
crime,crime,crime,NOUN
strengthen,strengthen,strengthen,VERB
institutional,institutional,institutional,ADJ
capacities,capacities,capacity,NOUN
improve,improve,improve,VERB
territorial,territorial,territorial,ADJ
coordination,coordination,coordination,NOUN
instances,instances,instance,NOUN
government,government,government,NOUN
orders,orders,order,NOUN
Eradicate,eradicate,eradicate,NOUN
corruption,corruption,corruption,NOUN
reactivate,reactivate,reactivate,VERB
procurement,procurement,procurement,NOUN
justice,justice,justice,NOUN
Government,government,government,PROPN
Mexico,mexico,mexico,PROPN
eradication,eradication,eradication,NOUN
corruption,corruption,corruption,NOUN
Federal,federal,federal,PROPN
Public,public,public,PROPN
Administration,administration,administration,PROPN
priority,priority,priority,NOUN
actions,actions,action,NOUN
implemented,implemented,implement,VERB
allow,allow,allow,VERB
things,things,thing,NOUN
performance,performance,performance,NOUN
servers,servers,server,NOUN
Public,public,public,ADJ
accountability,accountability,accountability,NOUN
people,people,people,NOUN
Mexico,mexico,mexico,PROPN
February,february,february,PROPN
Official,official,official,ADJ
Gazette,gazette,gazette,PROPN
Federation,federation,federation,PROPN
creation,creation,creation,NOUN
Transparency,transparency,transparency,PROPN
Unit,unit,unit,PROPN
published,published,publish,VERB
Transparency,transparency,transparency,PROPN
Committee,committee,committee,PROPN
Secretariat,secretariat,secretariat,PROPN
Security,security,security,PROPN
Citizen,citizen,citizen,PROPN
Protection,protection,protection,PROPN
SSPC,sspc,sspc,PROPN
established,established,establish,VERB
objective,objective,objective,NOUN
generate,generate,generate,VERB
culture,culture,culture,NOUN
Accountability,accountability,accountability,NOUN
promote,promote,promote,VERB
measures,measures,measure,NOUN
combat,combat,combat,NOUN
corruption,corruption,corruption,NOUN
framework,framework,framework,NOUN
March,march,march,PROPN
SSPC,sspc,sspc,PROPN
holder,holder,holder,NOUN
presented,presented,present,VERB
Anti,anti,anti,PROPN
Corruption,corruption,corruption,PROPN
Open,open,open,PROPN
Government,government,government,PROPN
program,program,program,NOUN
reiterating,reiterating,reiterate,VERB
Government,government,government,PROPN
commitment,commitment,commitment,NOUN
eradication,eradication,eradication,NOUN
corruption,corruption,corruption,NOUN
Likewise,likewise,likewise,ADV
deconcentrated,deconcentrated,deconcentrated,ADJ
administrative,administrative,administrative,ADJ
body,body,body,NOUN
prevention,prevention,prevention,NOUN
social,social,social,ADJ
rehabilitation,rehabilitation,rehabilitation,NOUN
Secretariat,secretariat,secretariat,PROPN
Security,security,security,PROPN
Citizen,citizen,citizen,PROPN
Protection,protection,protection,PROPN
SSPC,sspc,sspc,PROPN
December,december,december,PROPN
installed,installed,instal,VERB
Consultative,consultative,consultative,PROPN
Coordination,coordination,coordination,PROPN
Technical,technical,technical,PROPN
Committee,committee,committee,PROPN
held,held,hold,VERB
ordinary,ordinary,ordinary,ADJ
session,session,session,NOUN
allowing,allowing,allow,VERB
planning,planning,planning,NOUN
Programming,programming,programming,NOUN
execution,execution,execution,NOUN
management,management,management,NOUN
administration,administration,administration,NOUN
penitentiary,penitentiary,penitentiary,ADJ
system,system,system,NOUN
Likewise,likewise,likewise,ADV
January,january,january,PROPN
anti,anti,anti,ADJ
corruption,corruption,corruption,ADJ
committee,committee,committee,NOUN
deconcentrated,deconcentrated,deconcentrated,ADJ
administrative,administrative,administrative,ADJ
body,body,body,NOUN
prevention,prevention,prevention,NOUN
social,social,social,ADJ
rehabilitation,rehabilitation,rehabilitation,NOUN
OADPRS,oadprs,oadprs,PROPN
installed,installed,instal,VERB
main,main,main,ADJ
function,function,function,NOUN
granting,granting,grant,VERB
transparency,transparency,transparency,NOUN
resource,resource,resource,NOUN
management,management,management,NOUN
accounting,accounting,account,VERB
managing,managing,manage,VERB
comprehensive,comprehensive,comprehensive,ADJ
policies,policies,policy,NOUN
combat,combat,combat,VERB
corruption,corruption,corruption,NOUN
Interior,interior,interior,PROPN
penitentiary,penitentiary,penitentiary,ADJ
centers,centers,center,NOUN
II,ii,ii,PROPN
Ensuring,ensuring,ensuring,PROPN
employment,employment,employment,NOUN
education,education,education,NOUN
health,health,health,NOUN
SSPC,sspc,sspc,PROPN
added,added,add,VERB
efforts,efforts,effort,NOUN
Labor,labor,labor,PROPN
Social,social,social,PROPN
Secretariat,secretariat,secretariat,PROPN
collaboration,collaboration,collaboration,NOUN
agreement,agreement,agreement,NOUN
Young,young,young,PROPN
Building,building,building,PROPN
Future,future,future,PROPN
signed,signed,sign,VERB
January,january,january,PROPN
link,link,link,VERB
population,population,population,NOUN
years,years,year,NOUN
old,old,old,ADJ
topics,topics,topic,NOUN
social,social,social,ADJ
prevention,prevention,prevention,NOUN
crime,crime,crime,NOUN
reconstruction,reconstruction,reconstruction,NOUN
social,social,social,ADJ
tissue,tissue,tissue,NOUN
Agreement,agreement,agreement,PROPN
SSPC,sspc,sspc,PROPN
undertook,undertook,undertake,VERB
train,train,train,VERB
young,young,young,ADJ
people,people,people,NOUN
areas,areas,area,NOUN
designed,designed,design,VERB
specialized,specialized,specialized,ADJ
training,training,training,NOUN
plan,plan,plan,NOUN
accordance,accordance,accordance,NOUN
functions,functions,function,NOUN
attributions,attributions,attribution,NOUN
June,june,june,PROPN
young,young,young,ADJ
people,people,people,NOUN
incorporated,incorporated,incorporate,VERB
III,iii,iii,NUM
respect,respect,respect,NOUN
human,human,human,ADJ
rights,rights,right,NOUN
security,security,security,NOUN
institutions,institutions,institution,NOUN
federal,federal,federal,ADJ
government,government,government,NOUN
continuously,continuously,continuously,ADV
receive,receive,receive,VERB
training,training,training,NOUN
human,human,human,ADJ
rights,rights,right,NOUN
gender,gender,gender,NOUN
perspective,perspective,perspective,NOUN
December,december,december,PROPN
June,june,june,PROPN
SSPC,sspc,sspc,PROPN
performed,performed,perform,VERB
following,following,follow,VERB
actions,actions,action,NOUN
trained,trained,train,VERB
personnel,personnel,personnel,NOUN
attached,attached,attach,VERB
security,security,security,NOUN
forces,forces,force,NOUN
teaching,teaching,teach,VERB
courses,courses,course,NOUN
human,human,human,ADJ
rights,rights,right,NOUN
issue,issue,issue,NOUN
gender,gender,gender,NOUN
equality,equality,equality,NOUN
received,received,receive,VERB
training,training,train,VERB
members,members,member,NOUN
following,following,follow,VERB
deconcentrated,deconcentrated,deconcentrated,ADJ
administrative,administrative,administrative,ADJ
bodies,bodies,body,NOUN
Federal,federal,federal,PROPN
Police,police,police,PROPN
Federal,federal,federal,PROPN
Protection,protection,protection,PROPN
Service,service,service,PROPN
OADPRS,oadprs,oadprs,PROPN
training,training,training,NOUN
aimed,aimed,aim,VERB
sensitizing,sensitizing,sensitize,VERB
police,police,police,NOUN
penitentiary,penitentiary,penitentiary,ADJ
personnel,personnel,personnel,NOUN
order,order,order,NOUN
generate,generate,generate,VERB
behaviors,behaviors,behavior,NOUN
attached,attached,attach,VERB
respect,respect,respect,NOUN
human,human,human,ADJ
rights,rights,right,NOUN
equality,equality,equality,NOUN
women,women,woman,NOUN
men,men,man,NOUN
received,received,receive,VERB
recommendations,recommendations,recommendation,NOUN
National,national,national,PROPN
Commission,commission,commission,PROPN
Human,human,human,PROPN
Rights,rights,rights,PROPN
CNDH,cndh,cndh,PROPN
total,total,total,NOUN
recommendatory,recommendatory,recommendatory,ADJ
points,points,point,NOUN
addressed,addressed,address,VERB
partially,partially,partially,ADV
served,served,serve,VERB
Marina,marina,marina,PROPN
Secretariat,secretariat,secretariat,PROPN
SEMAR,semar,semar,PROPN
period,period,period,NOUN
conducted,conducted,conduct,VERB
following,following,follow,VERB
course,course,course,NOUN
prevent,prevent,prevent,VERB
human,human,human,ADJ
rights,rights,right,NOUN
violations,violations,violation,NOUN
complementary,complementary,complementary,ADJ
issues,issues,issue,NOUN
given,given,give,VERB
naval,naval,naval,ADJ
elements,elements,element,NOUN
collaboration,collaboration,collaboration,NOUN
CNDH,cndh,cndh,PROPN
International,international,international,PROPN
Committee,committee,committee,PROPN
Red,red,red,PROPN
Cross,cross,cross,PROPN
troops,troops,troop,NOUN
trained,trained,train,VERB
compliance,compliance,compliance,NOUN
recommendations,recommendations,recommendation,NOUN
issued,issued,issue,VERB
CNDH,cndh,cndh,PROPN
order,order,order,NOUN
avoid,avoid,avoid,VERB
committing,committing,commit,VERB
acts,acts,act,NOUN
omissions,omissions,omission,NOUN
violate,violate,violate,VERB
fundamental,fundamental,fundamental,ADJ
rights,rights,right,NOUN
people,people,people,NOUN
Elements,elements,element,NOUN
Admirals,admirals,admirals,PROPN
Captains,captains,captains,PROPN
attended,attended,attend,VERB
Diploma,diploma,diploma,PROPN
Human,human,human,PROPN
Rights,rights,rights,PROPN
Navaló,navaló,navaló,PROPN
Operations,operations,operations,PROPN
taught,taught,teach,VERB
CNDH,cndh,cndh,PROPN
Center,center,center,PROPN
Upper,upper,upper,PROPN
Naval,naval,naval,PROPN
Studies,studies,studies,PROPN
CESNAV,cesnav,cesnav,PROPN
promote,promote,promote,VERB
planning,planning,planning,NOUN
naval,naval,naval,ADJ
operations,operations,operation,NOUN
perspective,perspective,perspective,NOUN
respect,respect,respect,NOUN
protection,protection,protection,NOUN
rights,rights,right,NOUN
Fundamental,fundamental,fundamental,PROPN
Likewise,likewise,likewise,PROPN
Secretariat,secretariat,secretariat,PROPN
National,national,national,PROPN
Defense,defense,defense,PROPN
SEDENA,sedena,sedena,PROPN
developed,developed,develop,VERB
following,following,follow,VERB
actions,actions,action,NOUN
coordination,coordination,coordination,NOUN
CNDH,cndh,cndh,PROPN
National,national,national,PROPN
Council,council,council,PROPN
prevent,prevent,prevent,VERB
discrimination,discrimination,discrimination,NOUN
Conapred,conapred,conapred,PROPN
taught,taught,teach,VERB
courses,courses,course,NOUN
conferences,conferences,conference,NOUN
talks,talks,talk,NOUN
videoconferences,videoconferences,videoconference,NOUN
directed,directed,direct,VERB
general,general,general,ADJ
heads,heads,head,NOUN
officers,officers,officer,NOUN
Troop,troop,troop,PROPN
trained,trained,train,VERB
elements,elements,element,NOUN
CNDH,cndh,cndh,PROPN
notified,notified,notify,VERB
SEDENA,sedena,sedena,PROPN
complaints,complaints,complaint,NOUN
recommendations,recommendations,recommendation,NOUN
compliance,compliance,compliance,NOUN
accordance,accordance,accordance,NOUN
provisions,provisions,provision,NOUN
General,general,general,PROPN
Law,law,law,PROPN
Victims,victims,victims,PROPN
international,international,international,ADJ
standards,standards,standard,NOUN
damage,damage,damage,NOUN
repair,repair,repair,NOUN
respect,respect,respect,NOUN
protection,protection,protection,NOUN
respect,respect,respect,NOUN
human,human,human,ADJ
rights,rights,right,NOUN
coordination,coordination,coordination,NOUN
Regional,regional,regional,PROPN
Delegation,delegation,delegation,PROPN
International,international,international,PROPN
Committee,committee,committee,PROPN
Red,red,red,PROPN
Cross,cross,cross,PROPN
Mexico,mexico,mexico,PROPN
Central,central,central,PROPN
America,america,america,PROPN
Cuba,cuba,cuba,PROPN
January,january,january,PROPN
online,online,online,ADJ
conferences,conferences,conference,NOUN
taught,taught,teach,VERB
training,training,train,VERB
elements,elements,element,NOUN
following,following,follow,VERB
topics,topics,topic,NOUN
right,right,right,INTJ
Health,health,health,NOUN
forced,forced,force,VERB
disappearance,disappearance,disappearance,NOUN
people,people,people,NOUN
Geneva,geneva,geneva,PROPN
Convention,convention,convention,PROPN
improve,improve,improve,VERB
luck,luck,luck,NOUN
wounded,wounded,wound,VERB
patients,patients,patient,NOUN
shipwrecked,shipwrecked,shipwrecked,NOUN
armed,armed,armed,ADJ
forces,forces,force,NOUN
sea,sea,sea,NOUN
treatment,treatment,treatment,NOUN
prisoners,prisoners,prisoner,NOUN
war,war,war,NOUN
protection,protection,protection,NOUN
civilians,civilians,civilian,NOUN
time,time,time,NOUN
war,war,war,NOUN
January,january,january,PROPN
International,international,international,PROPN
Event,event,event,PROPN
Program,program,program,PROPN
La,la,la,PROPN
Sedena,sedena,sedena,PROPN
Lawyers,lawyers,lawyers,PROPN
Military,military,military,PROPN
Justice,justice,justice,PROPN
Service,service,service,PROPN
participated,participated,participate,VERB
Advanced,advanced,advanced,PROPN
Studies,studies,studies,PROPN
Program,program,program,PROPN
Human,human,human,PROPN
Rights,rights,rights,PROPN
International,international,international,PROPN
Humanitarian,humanitarian,humanitarian,PROPN
Law,law,law,PROPN
Masters,masters,masters,PROPN
Human,human,human,PROPN
Rights,rights,rights,PROPN
International,international,international,PROPN
Humanitarian,humanitarian,humanitarian,PROPN
Law,law,law,PROPN
American,american,american,PROPN
University,university,university,PROPN
Washington,washington,washington,PROPN
College,college,college,PROPN
Law,law,law,PROPN
city,city,city,NOUN
Washington,washington,washington,PROPN
DC,dc,dc,PROPN
USA,usa,usa,PROPN
program,program,program,NOUN
Professional,professional,professional,PROPN
Visits,visits,visit,NOUN
Inter,inter,inter,ADJ
American,american,american,ADJ
Court,court,court,PROPN
Human,human,human,PROPN
Rights,rights,rights,PROPN
city,city,city,NOUN
San,san,san,PROPN
José,josé,josé,PROPN
Costa,costa,costa,PROPN
Rica,rica,rica,PROPN
Human,human,human,ADJ
rights,rights,right,NOUN
sensitization,sensitization,sensitization,NOUN
workshop,workshop,workshop,NOUN
gender,gender,gender,NOUN
prevention,prevention,prevention,NOUN
gender,gender,gender,NOUN
violence,violence,violence,NOUN
military,military,military,ADJ
education,education,education,NOUN
system,system,system,NOUN
IV,iv,iv,PROPN
Ethical,ethical,ethical,PROPN
regeneration,regeneration,regeneration,NOUN
institutions,institutions,institution,NOUN
society,society,society,NOUN
New,new,new,ADJ
public,public,public,ADJ
ethics,ethics,ethic,NOUN
construction,construction,construction,NOUN
new,new,new,ADJ
public,public,public,ADJ
ethics,ethics,ethic,NOUN
federal,federal,federal,ADJ
government,government,government,NOUN
priorities,priorities,priority,NOUN
order,order,order,NOUN
achieve,achieve,achieve,VERB
Mexico,mexico,mexico,PROPN
transformation,transformation,transformation,NOUN
prosperous,prosperous,prosperous,ADJ
orderly,orderly,orderly,ADJ
country,country,country,NOUN
based,based,base,VERB
social,social,social,ADJ
relations,relations,relation,NOUN
Democratic,democratic,democratic,ADJ
respectful,respectful,respectful,ADJ
fraternal,fraternal,fraternal,ADJ
sense,sense,sense,NOUN
new,new,new,ADJ
public,public,public,ADJ
ethics,ethics,ethic,NOUN
focuses,focuses,focus,VERB
performance,performance,performance,NOUN
public,public,public,ADJ
servants,servants,servant,NOUN
favor,favor,favor,NOUN
society,society,society,NOUN
objective,objective,objective,NOUN
new,new,new,ADJ
public,public,public,ADJ
ethics,ethics,ethic,NOUN
achieve,achieve,achieve,VERB
people,people,people,NOUN
constitutional,constitutional,constitutional,ADJ
axes,axes,axis,NOUN
public,public,public,ADJ
service,service,service,NOUN
legality,legality,legality,NOUN
honesty,honesty,honesty,NOUN
loyalty,loyalty,loyalty,NOUN
impartiality,impartiality,impartiality,NOUN
efficiency,efficiency,efficiency,NOUN
Based,based,base,VERB
culture,culture,culture,NOUN
austere,austere,austere,ADJ
public,public,public,ADJ
service,service,service,NOUN
virtue,virtue,virtue,NOUN
strategy,strategy,strategy,NOUN
developed,developed,develop,VERB
objective,objective,objective,NOUN
disseminate,disseminate,disseminate,VERB
impact,impact,impact,NOUN
strengthen,strengthen,strengthen,VERB
tools,tools,tool,NOUN
public,public,public,ADJ
servants,servants,servant,NOUN
count,count,count,VERB
intention,intention,intention,NOUN
rethinking,rethinking,rethink,VERB
integrity,integrity,integrity,NOUN
public,public,public,ADJ
service,service,service,NOUN
Tools,tools,tool,NOUN
ranging,ranging,range,VERB
creation,creation,creation,NOUN
deontological,deontological,deontological,ADJ
instruments,instruments,instrument,NOUN
principles,principles,principle,NOUN
values,values,value,NOUN
act,act,act,NOUN
people,people,people,NOUN
incorporated,incorporated,incorporate,VERB
exercise,exercise,exercise,NOUN
public,public,public,ADJ
function,function,function,NOUN
actions,actions,action,NOUN
dissemination,dissemination,dissemination,NOUN
training,training,training,NOUN
specialized,specialized,specialize,VERB
topics,topics,topic,NOUN
ethics,ethics,ethic,NOUN
conflict,conflict,conflict,NOUN
ethics,ethics,ethic,NOUN
established,established,establish,VERB
interest,interest,interest,NOUN
order,order,order,NOUN
provide,provide,provide,VERB
knowledge,knowledge,knowledge,NOUN
strengthen,strengthen,strengthen,VERB
skills,skills,skill,NOUN
public,public,public,ADJ
service,service,service,NOUN
staff,staff,staff,NOUN
counts,counts,count,VERB
Taking,taking,take,VERB
ultimate,ultimate,ultimate,ADJ
goal,goal,goal,NOUN
permeating,permeating,permeating,NOUN
mood,mood,mood,NOUN
Federal,federal,federal,PROPN
Public,public,public,PROPN
Administration,administration,administration,PROPN
vocation,vocation,vocation,NOUN
service,service,service,NOUN
favor,favor,favor,NOUN
society,society,society,NOUN
Recognizing,recognizing,recognize,VERB
new,new,new,ADJ
public,public,public,ADJ
ethics,ethics,ethic,NOUN
exhausted,exhausted,exhaust,VERB
mere,mere,mere,ADJ
publication,publication,publication,NOUN
deontological,deontological,deontological,ADJ
instruments,instruments,instrument,NOUN
imposes,imposes,impose,VERB
contents,contents,content,NOUN
reaches,reaches,reach,NOUN
constantly,constantly,constantly,ADV
disseminated,disseminated,disseminate,VERB
public,public,public,ADJ
servants,servants,servant,NOUN
ways,ways,way,NOUN
means,means,mean,VERB
stand,stand,stand,VERB
training,training,training,NOUN
infographics,infographics,infographic,NOUN
Ethics,ethics,ethics,PROPN
Public,public,public,PROPN
Server,server,server,PROPN
February,february,february,PROPN
published,published,publish,VERB
Official,official,official,ADJ
Gazette,gazette,gazette,PROPN
Federation,federation,federation,PROPN
Agreement,agreement,agreement,PROPN
Code,code,code,PROPN
Ethics,ethics,ethics,PROPN
Public,public,public,PROPN
Servants,servants,servants,PROPN
Federal,federal,federal,PROPN
Government,government,government,PROPN
issued,issued,issue,VERB
cimientos,cimientos,cimiento,VERB
new,new,new,ADJ
public,public,public,ADJ
ethics,ethics,ethic,NOUN
purpose,purpose,purpose,NOUN
recovering,recovering,recover,VERB
confidence,confidence,confidence,NOUN
citizenship,citizenship,citizenship,NOUN
authorities,authorities,authority,NOUN
exemplary,exemplary,exemplary,ADJ
performance,performance,performance,NOUN
excellence,excellence,excellence,NOUN
society,society,society,NOUN
code,code,code,NOUN
encourages,encourages,encourage,VERB
public,public,public,ADJ
servants,servants,servant,NOUN
formulate,formulate,formulate,VERB
ethical,ethical,ethical,ADJ
judgments,judgments,judgment,NOUN
behaviors,behaviors,behavior,NOUN
consider,consider,consider,VERB
times,times,time,NOUN
society,society,society,NOUN
main,main,main,ADJ
objective,objective,objective,NOUN
functions,functions,function,NOUN
important,important,important,ADJ
highlight,highlight,highlight,VERB
deontological,deontological,deontological,ADJ
instrument,instrument,instrument,NOUN
accordance,accordance,accordance,NOUN
federal,federal,federal,ADJ
government,government,government,NOUN
policy,policy,policy,NOUN
incorporated,incorporated,incorporate,VERB
duty,duty,duty,NOUN
public,public,public,ADJ
servant,servant,servant,NOUN
exercise,exercise,exercise,NOUN
employment,employment,employment,NOUN
position,position,position,NOUN
commission,commission,commission,NOUN
seek,seek,seek,VERB
consolidate,consolidate,consolidate,VERB
government,government,government,NOUN
objectives,objectives,objective,NOUN
culture,culture,culture,NOUN
Austere,austere,austere,PROPN
public,public,public,ADJ
service,service,service,NOUN
results,results,result,NOUN
oriented,oriented,orient,VERB
based,based,base,VERB
optimization,optimization,optimization,NOUN
resources,resources,resource,NOUN
guaranteeing,guaranteeing,guarantee,VERB
efficiency,efficiency,efficiency,NOUN
efficiency,efficiency,efficiency,NOUN
discipline,discipline,discipline,NOUN
value,value,value,NOUN
cooperation,cooperation,cooperation,NOUN
illustrated,illustrated,illustrate,VERB
